source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[diagnosis]	characteristics[sample type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[patient ID]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identiier]	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[data file]	comment[uri]	comment[database]	factor value[organism part]
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	1	16	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F16.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_F16.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	1	17	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F17.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_F17.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	1	18	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F18.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_F18.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	1	19	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F19.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_F19.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	1	20	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F20.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_F20.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	1	21	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F21.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_F21.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	1	22	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F22.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_F22.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	1	23	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F23.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_F23.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	1	24	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F24.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_F24.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	1	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F1.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F1.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	2	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F2.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F2.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	3	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F3.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F3.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	4	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F4.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F4.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	5	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F5.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F5.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	6	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F6.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F6.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	7	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F7.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F7.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	8	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F8.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F8.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	9	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F9.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F9.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	10	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F10.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F10.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	11	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F11.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F11.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	12	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F12.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F12.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	13	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F13.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F13.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	14	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F14.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F14.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	15	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F15.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F15.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	16	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F16.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F16.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	17	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F17.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F17.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	18	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F18.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F18.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	19	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F19.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F19.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	20	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F20.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F20.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	21	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F21.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F21.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	22	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F22.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F22.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	23	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F23.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F23.raw	MASSIVE	CD8 T cell
PXD047742-Sample-63	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	DDA library	not available	not available	not available	adult	not available	63	CD8 T cell-DDAlibrary-63	2	24	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_F24.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/CD8%20T%20cell/CD8_F24.raw	MASSIVE	CD8 T cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	1	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F1.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F1.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	2	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F2.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F2.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	3	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F3.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F3.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	4	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F4.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F4.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	5	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F5.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F5.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	6	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F6.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F6.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	7	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F7.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F7.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	8	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F8.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F8.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	9	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F9.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F9.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	10	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F10.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F10.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	11	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F11.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F11.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	normal	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	1	12	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	Daudi_F12.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/Daudi_F12.raw	MASSIVE	Daudi B cell
PXD047742-Sample-64	Homo sapiens	blood	Daudi B cell	Daudi B cell	normal	normal	DDA library	not available	not available	not available	adult	not available	64	Daudi B cell-DDAlibrary-64	2	1	proteomic profiling by mass spectrometry	data-dependent acquisition	AC=MS:1002038;NT=label free sample	Q-Exactive Plus	AC=MS:1001251;NT=Trypsin	Daudi_F1.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/library/Human_Immune_Cell_DDA/Daudi/Daudi_F1.raw	MASSIVE	Daudi B cell
